strain_pct,seed,clearance_time,n_ruptured,lysis_fraction,mean_fiber_strain_initial,n_fragile_initial,n_total,reason,wall_s
50,4,24.26924427902116,159,0.316,0.44010762193321395,9,500,network_cleared,3.595769166946411
50,5,42.65362991539373,244,0.486,0.44010762193321395,9,500,network_cleared,5.278273582458496
50,6,32.242375051491166,211,0.42,0.44010762193321395,9,500,network_cleared,4.630025863647461
50,7,42.509513554669844,254,0.506,0.44010762193321395,9,500,network_cleared,5.4595301151275635
50,8,42.872582814909066,241,0.48,0.44010762193321395,9,500,network_cleared,5.258538484573364
50,9,43.12662302408919,261,0.52,0.44010762193321395,9,500,network_cleared,5.6438398361206055
50,10,42.165530371544925,254,0.506,0.44010762193321395,9,500,network_cleared,5.565603971481323
50,11,51.70569767699717,274,0.546,0.44010762193321395,9,500,network_cleared,5.918713092803955
50,12,47.446451934967044,249,0.496,0.44010762193321395,9,500,network_cleared,5.397149085998535
50,13,36.39332692277177,220,0.438,0.44010762193321395,9,500,network_cleared,4.845726013183594
50,14,47.092314093833714,250,0.498,0.44010762193321395,9,500,network_cleared,5.417533874511719
60,0,36.66340920172426,231,0.46,0.4825501575720303,9,500,network_cleared,5.102697134017944
60,1,39.14083430888821,232,0.462,0.4825501575720303,9,500,network_cleared,5.028536081314087
60,2,32.44900979293953,204,0.406,0.4825501575720303,9,500,network_cleared,4.50682520866394
60,3,35.42537792557897,241,0.48,0.4825501575720303,9,500,network_cleared,5.216364860534668
60,4,24.269380716747197,159,0.316,0.4825501575720303,9,500,network_cleared,3.528043508529663
60,5,42.6539071158652,244,0.486,0.4825501575720303,9,500,network_cleared,5.298999547958374
60,6,32.24256462290779,211,0.42,0.4825501575720303,9,500,network_cleared,4.640388488769531
60,7,42.50978418210522,254,0.506,0.4825501575720303,9,500,network_cleared,5.532190799713135
60,8,42.87285956356205,241,0.48,0.4825501575720303,9,500,network_cleared,5.205829858779907
60,9,43.126884388105616,261,0.52,0.4825501575720303,9,500,network_cleared,5.662482261657715
60,10,42.16579420447572,254,0.506,0.4825501575720303,9,500,network_cleared,5.554091930389404
60,11,51.706054659041975,274,0.546,0.4825501575720303,9,500,network_cleared,5.9227588176727295
60,12,47.44675454509481,249,0.496,0.4825501575720303,9,500,network_cleared,5.578580856323242
60,13,36.39354636814602,220,0.438,0.4825501575720303,9,500,network_cleared,4.828642129898071
